model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,obese_110_130,nominal,1,plus_39_46_53,+Day 39·46·53,20000,3,24.685,24.0923267781358,25.2873960073848,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,21.053130031253,0,0
k2016,obese_110_130,nominal,2,plus_39_46_53,+Day 39·46·53,20000,3,50.395,49.702060390327,51.0877879011887,0,0,0.0192036056104625,0,0,0.0192036056104625,8697,48.0625503047028,0,0
k2016,obese_110_130,nominal,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,32.43,31.7846683982281,33.0820797487834,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,35.7230798371058,0,0
k2016,obese_110_130,nominal,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,65.65,64.9889177241647,66.3050715472792,0.015,0.00510148179949506,0.0440963627292843,0,0,0.0192036056104625,8697,83.1436127400253,0,0
k2016,obese_110_130,nominal,1,plus_40_47,+Day 40·47,20000,3,23.915,23.3288674228928,24.5111510981541,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,19.5946585850933,0,0
k2016,obese_110_130,nominal,2,plus_40_47,+Day 40·47,20000,3,48.98,48.2874546665721,49.6729370869824,0,0,0.0192036056104625,0,0,0.0192036056104625,8697,44.8085546740255,0,0
k2016,obese_110_130,nominal,1,daily_29_57,Day 29–57 매일,20000,1,66.365,65.7071282095149,67.0165864503688,20.745,20.1886868101764,21.3125492194663,0,0,0.0192036056104625,10559,100,34.5392556113268,0
k2016,obese_110_130,nominal,2,daily_29_57,Day 29–57 매일,20000,1,72.98,72.3602016545953,73.5909723682662,55.335,54.645044855102,56.0229061201794,45.22,44.5312054804981,45.9106303841983,8697,100,100,91.0543865700816
k2016,obese_110_130,windowed,1,current,현행,20000,7,20.35,19.7977518087439,20.9136359293831,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,16.5735391609054,0,0
k2016,obese_110_130,windowed,2,current,현행,20000,7,42.77,42.0857837339919,43.4569931073794,0,0,0.0192036056104625,0,0,0.0192036056104625,8697,34.1842014487754,0,0
k2016,obese_110_130,windowed,1,plus_39_46,+Day 39·46,20000,3,24.115,23.527143465571,24.7127982410536,0.01,0.00274240352727269,0.0364573613620678,0,0,0.0192036056104625,10559,23.629131546548,0.0189411876124633,0
k2016,obese_110_130,windowed,2,plus_39_46,+Day 39·46,20000,3,49.255,48.5623345969961,49.9479515367275,0.94,0.815367318813009,1.08347525901198,0,0,0.0192036056104625,8697,48.8444291134874,2.161664941934,0
k2016,obese_110_130,windowed,1,plus_39_46_53,+Day 39·46·53,20000,3,24.395,23.8047596232037,24.9950745432294,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,10559,24.1405436120845,0.00947059380623165,0
k2016,obese_110_130,windowed,2,plus_39_46_53,+Day 39·46·53,20000,3,49.42,48.7272726177519,50.1129501440732,1.095,0.959871999308434,1.24891104733916,0,0,0.0192036056104625,8697,49.0858916867886,2.51810969299759,0
k2016,obese_110_130,windowed,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,31.86,31.2177971028361,32.5091699652794,0.025,0.0106789634543949,0.0585150403532624,0,0,0.0192036056104625,10559,38.0717871010512,0.0473529690311583,0
k2016,obese_110_130,windowed,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,62.585,61.9120007307787,63.2531657216891,2.92,2.69554824633681,3.162533868706,0,0,0.0192036056104625,8697,78.2683684028976,4.84074968379901,0
k2016,obese_110_130,windowed,1,plus_40_47,+Day 40·47,20000,3,23.62,23.0364428846689,24.2136889376512,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,22.3127190074818,0,0
